"","mu","sigma","prejudice","own","out","step"
"137",0.1,0.1,0.05,0.000744815616873118,0.000242799697300289,10000
"138",0.1,0.1,0.1,0.00123333167840162,0.000125662335514644,10000
"139",0.1,0.1,0.2,0.00364406705938892,2.4651565735264e-05,10000
"140",0.1,0.1,0.4,0.503916127791843,1.49085827277004e-06,10000
"141",0.1,0.2,0,0.000776078544915849,0.000780322630888507,10000
"142",0.1,0.2,0.05,0.00120971531709722,0.000514549355727299,10000
"143",0.1,0.2,0.1,0.00192858074816263,0.000340616807093973,10000
"144",0.1,0.2,0.2,0.00584106140190923,0.000143127792987544,10000
"145",0.1,0.2,0.4,0.495862209214784,1.86454980279996e-05,10000
"146",0.1,0.4,0,0.0161681698760312,0.0160324013004768,10000
"147",0.1,0.4,0.05,0.0236410422745558,0.0112577159929705,10000
"148",0.1,0.4,0.1,0.0325658155225964,0.00802413641545073,10000
"149",0.1,0.4,0.2,0.0701375789325052,0.00354783476994256,10000
"150",0.1,0.4,0.4,0.494338324401491,0.000888222011253733,10000
"151",0.3,0.01,0,0.00326083246384558,0.00326626039210962,10000
"152",0.3,0.01,0.05,0.006230198509965,0.00187219934355438,10000
"153",0.3,0.01,0.1,0.0144321796427582,0.00111106154641539,10000
"154",0.3,0.01,0.2,0.502033577602973,0.000352555363904235,10000
"155",0.3,0.01,0.4,0.996733883216482,1.40117404082835e-06,10000
"156",0.3,0.05,0,0.00335023861795247,0.00334627048684719,10000
"157",0.3,0.05,0.05,0.0063912681634708,0.00191352828198912,10000
"158",0.3,0.05,0.1,0.0149412886399854,0.00113807515033059,10000
"159",0.3,0.05,0.2,0.502874551097012,0.000366347954744902,10000
"160",0.3,0.05,0.4,0.996653470854498,2.49444099534704e-06,10000
"161",0.3,0.1,0,0.00363145471859701,0.00360985613291486,10000
"162",0.3,0.1,0.05,0.00700138816333339,0.00206860434890207,10000
"163",0.3,0.1,0.1,0.0165025895902789,0.00123562597215492,10000
"164",0.3,0.1,0.2,0.494163635835621,0.000436140207556881,10000
"165",0.3,0.1,0.4,0.996369729142829,2.4523302996307e-05,10000
"166",0.3,0.2,0,0.00594697602655967,0.00582160906969442,10000
"167",0.3,0.2,0.05,0.0120402643048143,0.00324825322613118,10000
"168",0.3,0.2,0.1,0.0305254315925568,0.00191499090645164,10000
"169",0.3,0.2,0.2,0.502902956375302,0.000783115689882388,10000
"170",0.3,0.2,0.4,0.994042968407288,0.000141559198835006,10000
"171",0.3,0.4,0,0.0700338138204577,0.0689095451223479,10000
"172",0.3,0.4,0.05,0.104272507253222,0.0467659819407831,10000
"173",0.3,0.4,0.1,0.181786523063982,0.0327169612848108,10000
