"","TL","TGS","prejudice","own","out","step"
"123",0.9,0.8,0.1,0.59899705818357,0.400028918898311,0
"124",0.9,0.8,0.2,0.700278932807505,0.300446852037646,0
"125",0.9,0.8,0.4,0.891261632100595,0.10767409535578,0
"126",0.5,0.2,0,0.495925803364706,0.504943883068791,10000
"127",0.5,0.2,0.05,0.883036875484869,0.0897848127937387,10000
"128",0.5,0.2,0.1,0.960268496876034,0.0255435006143165,10000
"129",0.5,0.2,0.2,0.990237165117072,0.00529368644200813,10000
"130",0.5,0.2,0.4,0.998491372653363,0.000556576245301633,10000
"131",0.5,0.35,0,0.500325602722262,0.504458330298995,10000
"132",0.5,0.35,0.05,0.854448788595953,0.13414786668194,10000
"133",0.5,0.35,0.1,0.948657067716364,0.0445390235246053,10000
"134",0.5,0.35,0.2,0.988484530916015,0.0099061015080177,10000
"135",0.5,0.35,0.4,0.998425169557941,0.00111206889203396,10000
"136",0.5,0.5,0,0.503799430344069,0.499036606410119,10000
"137",0.5,0.5,0.05,0.854149135705927,0.21051221517962,10000
"138",0.5,0.5,0.1,0.951140473921259,0.101272210147601,10000
"139",0.5,0.5,0.2,0.989755986040115,0.0322334743695148,10000
"140",0.5,0.5,0.4,0.998669786198459,0.00442869650896759,10000
"141",0.5,0.65,0,0.505435249987858,0.500169741564044,10000
"142",0.5,0.65,0.05,0.884877579985765,0.390238957282132,10000
"143",0.5,0.65,0.1,0.965757557995065,0.303613748534044,10000
"144",0.5,0.65,0.2,0.992463881661751,0.167906289884393,10000
"145",0.5,0.65,0.4,0.999001715774299,0.0317972298500815,10000
"146",0.5,0.8,0,0.508132184137306,0.510238878051065,10000
"147",0.5,0.8,0.05,0.925794765714468,0.650272743358443,10000
"148",0.5,0.8,0.1,0.977887118502291,0.649213794229894,10000
"149",0.5,0.8,0.2,0.994903360362836,0.5526127938539,10000
"150",0.5,0.8,0.4,0.999295982927081,0.191429822405267,10000
"151",0.6,0.2,0,0.648185238708295,0.653192453354425,10000
"152",0.6,0.2,0.05,0.926817189956048,0.149712411919285,10000
"153",0.6,0.2,0.1,0.974224113336207,0.0409736813150736,10000
"154",0.6,0.2,0.2,0.993437339017064,0.00753759175432288,10000
"155",0.6,0.2,0.4,0.999254307515946,0.000792412949720022,10000
"156",0.6,0.35,0,0.750708464121836,0.75219441084652,10000
"157",0.6,0.35,0.05,0.934168311493206,0.303475729874009,10000
"158",0.6,0.35,0.1,0.974229396917634,0.109190410962871,10000
"159",0.6,0.35,0.2,0.993158122370779,0.0236575567311216,10000
"160",0.6,0.35,0.4,0.999219192127513,0.00347230533616505,10000
"161",0.6,0.5,0,0.839802423785154,0.843011275562204,10000
"162",0.6,0.5,0.05,0.950202242483896,0.552380217817844,10000
"163",0.6,0.5,0.1,0.979330559885501,0.318474622433194,10000
"164",0.6,0.5,0.2,0.994128101240036,0.117981940058523,10000
"165",0.6,0.5,0.4,0.999275095753142,0.0228337160927921,10000
"166",0.6,0.65,0,0.902164095789142,0.902587272737984,10000
"167",0.6,0.65,0.05,0.967413726929275,0.79866718074185,10000
"168",0.6,0.65,0.1,0.985477355317483,0.64116111294645,10000
"169",0.6,0.65,0.2,0.995520990767343,0.415464376030483,10000
"170",0.6,0.65,0.4,0.999375829461293,0.13437355016421,10000
"171",0.6,0.8,0,0.943093598448689,0.943626164362594,10000
"172",0.6,0.8,0.05,0.979192201277977,0.919099704665231,10000
"173",0.6,0.8,0.1,0.989992070890322,0.874054397133856,10000
"174",0.6,0.8,0.2,0.996724365151031,0.753863818667427,10000
"175",0.6,0.8,0.4,0.999498623634698,0.416325623926118,10000
"176",0.7,0.2,0,0.76061425939647,0.761616875675064,10000
"177",0.7,0.2,0.05,0.947848641716717,0.244732239009676,10000
"178",0.7,0.2,0.1,0.981093477973547,0.0748803711989791,10000
"179",0.7,0.2,0.2,0.994933729207797,0.0126564294642225,10000
"180",0.7,0.2,0.4,0.999406979174427,0.00115469325587633,10000
"181",0.7,0.35,0,0.868538709564674,0.869490948447435,10000
"182",0.7,0.35,0.05,0.961570209728047,0.507212824649447,10000
"183",0.7,0.35,0.1,0.983466384195433,0.232910024594062,10000
"184",0.7,0.35,0.2,0.995142234675429,0.0637834104956073,10000
"185",0.7,0.35,0.4,0.999383640042484,0.00688961273651718,10000
"186",0.7,0.5,0,0.929401065906647,0.929376482718689,10000
"187",0.7,0.5,0.05,0.973647581028207,0.77734389573607,10000
"188",0.7,0.5,0.1,0.987480767299747,0.537249489884344,10000
"189",0.7,0.5,0.2,0.995931320066446,0.274115588097174,10000
"190",0.7,0.5,0.4,0.999416409563456,0.0483850236462598,10000
"191",0.7,0.65,0,0.95937768786018,0.959548406306316,10000
"192",0.7,0.65,0.05,0.982603097344093,0.912365186268583,10000
"193",0.7,0.65,0.1,0.991028675160088,0.813521655744629,10000
"194",0.7,0.65,0.2,0.996827963829331,0.601887568872088,10000
"195",0.7,0.65,0.4,0.999482295083827,0.216847198274391,10000
"196",0.7,0.8,0,0.976858825548951,0.977135322364235,10000
"197",0.7,0.8,0.05,0.988805761969822,0.964739456114977,10000
"198",0.7,0.8,0.1,0.993753866864677,0.942360337944902,10000
"199",0.7,0.8,0.2,0.997595120787091,0.858610993942697,10000
"200",0.7,0.8,0.4,0.999559948677864,0.50513806444664,10000
"201",0.8,0.2,0,0.839061456509995,0.83919245391725,10000
"202",0.8,0.2,0.05,0.960915448093838,0.349324727965455,10000
"203",0.8,0.2,0.1,0.984965186262451,0.133287727053424,10000
"204",0.8,0.2,0.2,0.995778508063017,0.024367688494035,10000
"205",0.8,0.2,0.4,0.999458612836993,0.00135409454605379,10000
"206",0.8,0.35,0,0.92095173042247,0.923413126832065,10000
"207",0.8,0.35,0.05,0.973666196625727,0.67826527067506,10000
"208",0.8,0.35,0.1,0.988185195471654,0.38494406748011,10000
"209",0.8,0.35,0.2,0.996102849604135,0.133132180216007,10000
"210",0.8,0.35,0.4,0.999444785778435,0.00965882467095999,10000
"211",0.8,0.5,0,0.960058110275312,0.960131449424148,10000
"212",0.8,0.5,0.05,0.982697880849687,0.878503595361604,10000
"213",0.8,0.5,0.1,0.991096471285186,0.694606617673631,10000
"214",0.8,0.5,0.2,0.996778042878043,0.406988767135594,10000
"215",0.8,0.5,0.4,0.999473800912284,0.0618162743610284,10000
"216",0.8,0.65,0,0.977296068682954,0.977258702489234,10000
"217",0.8,0.65,0.05,0.988724401377799,0.954337752537995,10000
"218",0.8,0.65,0.1,0.99368261763734,0.901245278394117,10000
"219",0.8,0.65,0.2,0.997455970060839,0.703871549281534,10000
"220",0.8,0.65,0.4,0.999516915623312,0.248300869064439,10000
"221",0.8,0.8,0,0.986814520632432,0.986842694221298,10000
"222",0.8,0.8,0.05,0.99266049918299,0.980327179132975,10000
"223",0.8,0.8,0.1,0.995584324263346,0.96887213736201,10000
"224",0.8,0.8,0.2,0.998032069910107,0.908433096497189,10000
"225",0.8,0.8,0.4,0.999580214797815,0.527368477101335,10000
"226",0.9,0.2,0,0.886596931200262,0.890281347256555,10000
"227",0.9,0.2,0.05,0.969682671883735,0.472630241637892,10000
"228",0.9,0.2,0.1,0.987451597611156,0.209763625064244,10000
"229",0.9,0.2,0.2,0.996227148904974,0.0438538211306646,10000
"230",0.9,0.2,0.4,0.999487548652308,0.00153354900469576,10000
"231",0.9,0.35,0,0.950800184965397,0.950150251375344,10000
"232",0.9,0.35,0.05,0.980825101689808,0.804415125405313,10000
"233",0.9,0.35,0.1,0.990421219855554,0.494481674735484,10000
"234",0.9,0.35,0.2,0.996649522835203,0.205206318086824,10000
