"","sim","TL","TGS","prejudice","startOwnMu","startOwnSD","startOutMu","startOutSD","startThirdMu","startThirdSD","endOwnMu","endOwnSD","endOutMu","endtOutSD","endThirdMu","endThirdSD"
"291",83,0.6,0.65,0,0.49910542366324,0.0967762606658342,0.501485805345011,0.100663467309707,0.602462262146411,0.10364642895005,0.908444815195323,0.0494743927048498,0.910854017920326,0.0488663786829077,0.978163246490992,0.0150273253841551
"292",83,0.6,0.65,0.05,0.550728762904392,0.102993695677967,0.454764951570099,0.100406988040901,0.616200341454497,0.113870129833155,0.968450792396177,0.0149826240099477,0.81594244471197,0.139807569934158,0.982289086764316,0.0187429024899554
"293",83,0.6,0.65,0.1,0.606414563016957,0.100803147104013,0.405295092110419,0.101549807027772,0.634328137131065,0.137320239305508,0.986962016003077,0.00573899783499606,0.684597773718229,0.249784915151953,0.982150767635997,0.0238167753979501
"294",83,0.6,0.65,0.2,0.696483457853156,0.100611701978552,0.298503252988576,0.0999393178841919,0.665361451892281,0.214582155654289,0.995478450700493,0.00230686780577163,0.442127361222409,0.303886449182899,0.954359863767614,0.0721898055834302
"295",83,0.6,0.65,0.4,0.894145418901574,0.0839976377895612,0.106567651827221,0.0844394421961859,0.703041031057313,0.362663680852619,0.999424566152243,0.00052913639138428,0.150369455948004,0.168031596781052,0.793150395639606,0.299723931201766
"296",83,0.6,0.8,0,0.496591491235844,0.0994865922864085,0.50145244255893,0.0991674605246857,0.605050133402074,0.101196809694345,0.94201172988343,0.0377954866901174,0.946641056835384,0.0318280233939326,0.994215266705782,0.00549647060201316
"297",83,0.6,0.8,0.05,0.554104810488635,0.100531479023572,0.455275236398269,0.0986527824070378,0.625861352362097,0.105185923887619,0.979590770981411,0.0105346671225451,0.92076989293047,0.0706044996872255,0.996586108565738,0.00455736966029268
"298",83,0.6,0.8,0.1,0.60383703207109,0.098787515299983,0.401693633052212,0.103114288076301,0.654009407541401,0.128474560861526,0.99000663125496,0.00465707915071925,0.862272014953267,0.148012372701496,0.996500033304911,0.00611022529908376
"299",83,0.6,0.8,0.2,0.702078553188356,0.100276697627078,0.300154952083377,0.100348573521346,0.719688993498532,0.187040016863641,0.996762566495542,0.00160118597613464,0.747253617929858,0.284676245160739,0.994940112460706,0.0111615649428035
"300",83,0.6,0.8,0.4,0.889631683868087,0.0855860037978232,0.107851976719488,0.0893421320756157,0.803935236801021,0.316284023483341,0.999474968658836,0.000458969690575901,0.407812418616885,0.327161408317962,0.926589941568258,0.167952883686587
